Date;Nb;Indiv;Species;Paire;Essai;Heure;Zone_T;Zone_B;Touche_T;Touche_B;Coucou;Dummy_T;Dummy_B;Dummy_BB;Paires;App_conspe;App_non_conspe;Touch_conspe;Touch_non_conspe
18/03/2023;54;408;bristowi;1;3;09:17;0;0;0;0;NA;2;2;2;1;0;0;0;0
16/03/2023;55;407;bristowi;1;1;10:20;3;5;0;0;NA;2;2;2;1;5;3;0;0
17/03/2023;55;407;bristowi;1;2;10:54;0;0;0;0;NA;2;2;2;1;0;0;0;0
18/03/2023;55;407;bristowi;1;3;09:07;0;0;0;0;NA;2;2;2;1;0;0;0;0
17/03/2023;56;390;bristowi;1;1;11:16;3;11;0;0;NA;2;2;2;1;11;3;0;0
18/03/2023;56;390;bristowi;1;2;09:38;0;0;0;0;NA;2;2;2;1;0;0;0;0
19/03/2023;56;390;bristowi;1;3;09:13;1;1;0;1;NA;2;2;2;1;1;1;1;0
17/03/2023;57;410;bristowi;1;1;11:28;7;7;0;0;NA;2;2;2;1;7;7;0;0
18/03/2023;57;410;bristowi;1;2;09:27;3;2;0;0;NA;2;2;2;1;2;3;0;0
19/03/2023;57;410;bristowi;1;3;10:09;10;4;0;0;NA;2;2;2;1;4;10;0;0
14/02/2023;1;205;theodorus;1;1;08:40;0;0;0;0;NA;1;1;1;1;0;0;0;0
16/02/2023;1;205;theodorus;1;3;09:22;0;0;0;0;non;1;1;1;1;0;0;0;0
15/02/2023;1;205;theodorus;1;2;11:47;13;5;2;0;oui;1;1;1;1;13;5;2;0
14/02/2023;2;215;theodorus;1;1;08:52;1;0;0;0;NA;1;1;1;1;1;0;0;0
15/02/2023;2;215;theodorus;1;2;12:27;0;0;0;0;non;1;1;1;1;0;0;0;0
16/02/2023;2;215;theodorus;1;3;10:32;5;7;0;0;oui;1;1;1;1;5;7;0;0
14/02/2023;3;104;theodorus;1;1;09:04;0;0;0;0;NA;1;1;1;1;0;0;0;0
15/02/2023;3;104;theodorus;1;2;11:57;0;0;0;0;oui;1;1;1;1;0;0;0;0
16/02/2023;3;104;theodorus;1;3;10:22;0;0;0;0;oui;1;1;1;1;0;0;0;0
16/02/2023;4;146;theodorus;1;3;09:52;0;0;0;0;non;1;1;1;1;0;0;0;0
14/02/2023;4;146;theodorus;1;1;09:16;2;4;0;0;oui;1;1;1;1;2;4;0;0
15/02/2023;4;146;theodorus;1;2;11:37;0;0;0;0;oui;1;1;1;1;0;0;0;0
14/02/2023;5;206;theodorus;1;1;09:28;0;0;0;0;NA;1;1;1;1;0;0;0;0
15/02/2023;5;206;theodorus;1;2;11:27;1;6;0;0;oui;1;1;1;1;1;6;0;0
16/02/2023;5;206;theodorus;1;3;09:42;4;20;0;2;oui;1;1;1;1;4;20;0;2
16/02/2023;6;113;theodorus;1;3;09:32;0;0;0;0;non;1;1;1;1;0;0;0;0
14/02/2023;6;113;theodorus;1;1;09:40;0;2;0;0;oui;1;1;1;1;0;2;0;0
15/02/2023;6;113;theodorus;1;2;12:37;4;6;0;0;oui;1;1;1;1;4;6;0;0
14/02/2023;7;147;theodorus;1;1;09:52;17;8;0;0;oui;1;1;1;1;17;8;0;0
