row ID;row m/z;row retention time;HF_G_82;HF_G_182;HF_G_174;HF_G_201;HF_G_100;HF_G_X2;HF_G_184;HF_G_196;HF_G_170;HF_G_195;AF_G_191;AF_G_X5;AF_G_193;AF_G_X1;AF_G_187;AF_G_X2;AF_G_X6;AF_G_120;AF_G_X4;AF_G_070;AF_G_X3;AF_G_178;AM_G_180;AM_G_175;AM_G_194;AM_G_189;AM_G_165;AM_G_167;AM_G_192;AM_G_155;AM_G_163;AM_G_181;AM_G_164;HM_G_150;HM_G_112;HM_G_162;HM_G_119;HM_G_103;HM_G_158;HM_G_172;HM_G_159;HM_G_169;HM_G_005;3;5;1;2;4
48;55,07062359;28,62376769;2,85E+07;2,16E+07;2,56E+07;3,13E+07;1,83E+07;2,68E+07;2,46E+07;3,35E+07;1,97E+07;2,72E+07;7912085,097;2,30E+07;2,96E+07;2,65E+07;5237988,38;5,93E+07;1,86E+07;7046842,237;2,47E+07;7,59E+07;1,09E+07;1,21E+07;2,93E+07;2,55E+07;3,43E+07;3,35E+07;3,45E+07;5,58E+07;5,38E+07;2,64E+07;1,18E+08;3,66E+07;2,03E+07;1,50E+07;3,46E+07;3,83E+07;2,00E+07;2,51E+07;2,12E+08;3,74E+08;2,64E+08;5,09E+07;3,59E+08;0;0;0;0,00E+00;0,00E+00
49;44,00873894;28,9754876;2049245,91;1813716,997;1111937,878;3472606,36;2590966,493;1396940,506;2985890,748;4410443,573;7462534,692;2342354,818;232144,3828;1492763,784;542674,791;1728561,696;304281,274;1360054,117;1735105,45;801365,7952;1683472,113;4090105,159;862306,5401;384362,865;1,01E+07;6216853,942;7702677,149;1,55E+07;8638748,413;1,43E+07;2,54E+07;8801639,247;1,39E+07;1,42E+07;1,27E+07;7934286,051;1,11E+07;2,27E+07;1,13E+07;1,01E+07;1,98E+07;1,47E+07;2,23E+07;1,44E+07;1,14E+07;0;0;0;0;0
55;44,00973127;16,3667136;9205469,039;6946600,419;7695334,629;1,19E+07;4378967,553;6956951,401;5852069,274;6750161,893;1,07E+07;8155616,057;512440,7784;1096445,724;5518126,609;6333324,319;661115,5754;1,03E+07;914455,3716;3646941,115;1786194,326;1,20E+07;2807585,702;3985160,219;6122111,264;1775657,562;2470314,578;6489145,76;4767827,561;4686155,098;2,22E+07;6100337,209;4549117,684;4171749,487;5825118,517;3175504,455;1,93E+07;1,78E+07;5984267,454;5224002,297;4563762,892;1,73E+07;4107656,618;3958448,051;1,17E+07;65867,50498;2195023,07;80803,95222;55145,68905;427282,7345
57;44,00841377;15,53212771;139435,6089;7859,762885;8886,717102;8460,912764;210725,4002;3945687,454;13631,57169;13369,45848;11590,06964;15654,08579;99246,13995;114917,4478;151,0166527;742,529236;182832,6436;660,038306;0;10563,5735;489,5023612;3053740,636;2636,034792;17440,77041;4745606,254;1653877,517;2624335,907;2719081,247;3165068,159;2285843,842;5705662,429;3036727,179;2963577,454;5130710,985;5853974,396;10898,03915;11703,26886;2601,644129;7951,8187;36105,95107;156634,6411;74,97922812;8071,856647;1410,343521;637832,4367;77960,89766;138022,4082;27899,5894;66837,08596;27012,95206
58;44,0062538;18,33121372;2769371,648;6900941,951;7449559,105;1338327,008;6205307,387;3559335,216;6901085,235;8949845,862;953913,0204;1,07E+07;7678451,136;4833435,645;9611231,579;3004757,297;6721712,564;3100825,528;3462096,466;4463234,339;4930475,308;2211407,382;3246174,425;3308551,331;2694643,078;3967508,665;4194657,641;2888721,199;5328719,932;3580011,678;3701463,902;4268513,294;5981145,095;2540352,513;3794581,535;4343074,421;3278104,959;3874258,712;5476576,061;3753613,09;4857183,596;4500577,2;6948770,197;4864270,937;6265772,443;26890,31485;187174,8825;24460,10746;8230,697756;9689,226774
59;43,06781806;18,47208905;2322386,84;187863,9354;154112,6126;128644,7443;183765,2114;1,81E+07;391910,1654;260346,4933;899642,4367;188374,1307;128340,879;89672,54527;346779,1579;2494970,466;107220,4087;684113,1943;281000,8142;196781,6987;203258,2221;1,95E+07;9548804,038;93136,3761;503606,3942;263742,3239;213609,4894;948594,9211;493317,4038;3343251,597;470289,3167;713219,653;1012727,508;394857,286;1,25E+07;190422,5188;969715,9893;530356,5308;428559,4411;741017,7632;332326,9332;715000,1145;716140,8323;443845,4971;1003940,678;4667,638203;116412,1855;3651,818106;5458,584376;1750,12601
60;44,00584741;18,59725111;9646827,09;2,12E+07;1,89E+07;1,85E+07;1,44E+07;8397573,882;2,42E+07;2,19E+07;1,19E+07;2,65E+07;1,48E+07;1,68E+07;1,97E+07;1,47E+07;1,78E+07;1,06E+07;1,74E+07;1,62E+07;2,50E+07;1,93E+07;9345037,782;9176991,53;1,89E+07;2,23E+07;2,46E+07;1,16E+07;2,45E+07;1,85E+07;2,24E+07;2,21E+07;3,18E+07;1,87E+07;1,53E+07;2,22E+07;1,84E+07;1,99E+07;2,33E+07;9291168,198;2,69E+07;2,01E+07;2,80E+07;2,71E+07;2,87E+07;28878,79207;358660,8563;16830,47145;49708,53488;24421,5258
61;44,0063103;20,36125385;4093427,146;6485920,989;6142453,44;7559631,682;4195917,862;3982031,678;4926765,965;4371606,962;4820992,01;6869001,161;3987307,792;4154475,423;5560977,027;4673966,419;5061586,512;2616083,773;2502375,797;3859038,044;5218687,174;3288272,267;5248849,467;4812938,709;4037401,636;4589079,893;5235673,748;4272045,536;5652761,133;4607254,812;4382406,896;5359271,087;6702890,79;4086933,234;3804014,892;4763950,371;3513000,502;3985716,624;6375929,945;5242753,364;4174452,726;4383225,416;5211620,732;3466288,918;5690547,048;296455,7972;20874,84071;99945,36702;134204,0496;29458,85259
62;44,0061466;20,98856064;9333753,159;1,88E+07;1,81E+07;2,24E+07;1,17E+07;7985733,523;1,63E+07;1,71E+07;1,67E+07;1,77E+07;1,12E+07;1,15E+07;1,43E+07;1,57E+07;1,27E+07;8934249,627;8881822,848;1,05E+07;1,72E+07;2,48E+07;8898804,458;1,02E+07;9451017,019;1,61E+07;2,03E+07;1,25E+07;1,70E+07;1,41E+07;8665027,845;1,56E+07;2,02E+07;8358163,484;8024721,701;9935098,019;8305777,167;1,25E+07;1,68E+07;8869112,584;1,66E+07;9262175,62;1,73E+07;9645155,613;1,71E+07;94442,78948;11159,7559;6952,636521;47761,93083;11464,49613
63;44,00595149;21,13968547;0;1889925,203;2395666,483;2972195,855;2250073,063;5781582,378;2470548,384;1547457,862;2116333,426;2591456,329;1257002,045;1049951,777;990789,1164;3544028,226;1355636,796;4135389,348;2734467,642;7925410,136;1964125,853;5910626,572;6610516,583;1401620,234;1337931,812;1630146,635;2206364,321;1027969,682;2257626,769;1,87E+07;1784004,763;1565475,621;2533359,074;1514093,28;1,47E+07;1490755,613;1,31E+07;689313,569;4440756,182;2389611,977;831541,0696;1645775,669;3761327,013;744422,5778;7305621,991;15588,21549;24913,14275;12477,64713;5504,898885;6436,46055
64;44,00616618;21,25262537;5098474,856;560504,2143;700539,8808;506078,1496;441995,982;6128089,829;3278690,212;4957095,28;331515,7191;1137560,277;3017443,203;5749187,663;5224398,268;5574677,357;4005062,868;5982253,987;4164706,534;737192,8276;2841874,356;9155087,541;5229658,79;877588,3005;1,38E+07;1,89E+07;1,30E+07;1,42E+07;1,27E+07;1436531,007;3539187,095;1,35E+07;1,64E+07;3621277,625;2176372,178;1,21E+07;3211166,375;1,89E+07;1,23E+07;1018492,394;3199022,609;2,20E+07;1,48E+07;4437462,231;4434204,661;105201,2457;27908,84296;129004,4166;132826,8942;65423,31757
