row ID;row m/z;row retention time;AF_G_X6_C8;AF_G_187_C8;AF_G_193_C8;AF_G_X5_C8;AF_G_191_C8;AF_G_070_C8;AF_G_X3_C8;AF_G_X4_C8;AF_G_178_C8;AM_G_155_C8;AM_G_194_C8;AM_G_175_C8;AM_G_165_C8;AM_G_180_C8;AM_G_189_C8;AM_G_163_C8;AM_G_167_C8;AM_G_181_C8;HM_G_150_C8;HM_G_169_C8;HM_G_162_C8;HM_G_112_C8;HM_G_X1_C8;HM_G_158_C8;HM_G_159_C8;HM_G_172_C8;HM_G_005_C8;HF_G_195_C8;HF_G_196_C8;HF_G_182_C8;HF_G_201_C8;HF_G_184_C8;HF_G_100_C8;HF_G_170_C8;HF_G_X2_C8;HF_G_082_C8;1_C8;2_C8
105;55,1;24,31;74500,35307;13686,22365;70733,39431;117097,6075;89034,5921;259289,8139;121002,306;62755,87153;157903,9888;151175,3781;236761,6326;88732,17589;149355,1398;147433,4888;109993,1748;22051,30302;72939,85994;59115,07958;1574341,344;311791,376;201036,2165;706038,8788;2883207,992;1055701,075;1930946,134;1,85E+07;4,05E+08;11565,4101;12970,01566;58060,37892;221890,1632;300998,6722;1,04E+08;674304,2994;443089,5062;3,65E+08;68031,86205;47678,81302
106;43,1;24,56;2177,665866;8567,899395;720,957276;60624,26987;5323,010947;6415,158141;1591,690514;26817,50596;6134,1538;76627,09222;81,40923497;56364,14975;74786,30884;1041395,312;180880,825;29398,04351;56774,83503;42210,41068;5003069,684;1,56E+07;3503880,093;1,56E+07;2990356,446;6,79E+07;1,31E+08;1,51E+07;1,10E+08;6400,584532;56,50681653;980,1795619;61474,32512;12578,29777;7729269,12;404067,0695;56774,29151;4,13E+07;41137,70572;2502,243438
107;43,1;4,29;9824719,054;1,71E+07;9249970,458;5418186,907;8886176,981;5591168,605;8284454,036;3993837,275;6713568,382;4196316,742;1,12E+07;4149603,458;6308188,887;5524680,919;4315251,992;6644311,881;1,03E+07;5190189,733;1,98E+07;0,00E+00;1,91E+07;1,34E+07;1,01E+07;4,11E+07;2,21E+07;9,53E+07;2,44E+07;0;0;2,66E+07;3,49E+07;3,70E+07;2,29E+07;1,78E+07;8,13E+07;4,45E+07;8823163,177;9420734,995
108;49;4,88;2,98E+07;2,62E+07;3,58E+07;3,12E+07;3,25E+07;2,92E+07;3,17E+07;2,84E+07;2,67E+07;3,23E+07;3,61E+07;2,87E+07;3,07E+07;2,70E+07;3,10E+07;3,47E+07;3,30E+07;3,25E+07;2,57E+07;0,00E+00;3,12E+07;3,07E+07;3,17E+07;3,07E+07;2,50E+07;2,10E+07;2,30E+07;0;0,00E+00;3,18E+07;2,70E+07;2,70E+07;2,98E+07;2,11E+07;1,98E+07;1,95E+07;3,23E+07;3,11E+07
110;41;9,14;1684272,472;1268021,256;1676638,964;1441385,853;2328097,264;1235357,23;1146036,599;1347841,265;1515866,82;1841139,425;4464450,802;2475376,014;5329546,615;8400900,856;4577421,284;2366415,322;2,06E+07;3,24E+07;3547997,552;1,21E+07;5430253,469;3859818,388;2913662,697;1,30E+07;1,12E+07;1,89E+07;8780362,6;569202,9485;655938,2732;3390709,098;2883313,676;6766232,285;3344410,284;3972239,58;8647198,111;7648762,416;2178225,41;1836325,998
111;93,1;10,58;1087,803743;397,6212662;5421,90161;268,1290835;504,3071556;4761,132435;5381,133073;9015,555193;1424,548311;117974,3423;880977,7286;419256,3488;1525226,348;2325097,293;902337,0048;219331,3949;5064459,851;8768507,79;5,34E+08;8,57E+07;5,63E+07;1,66E+08;3,14E+08;9,77E+08;3,58E+07;1,05E+09;5,21E+08;480,8886296;3,121357599;496,3645201;12784,76628;839,4888657;6502,641533;6657,096677;65170,48069;33489,4889;652,4861237;213,209726
112;43,1;10,82;1256571,498;1728925,655;1715459,668;810784,8155;1890505,925;1613978,193;1259994,248;764564,5436;1818709,314;705260,6168;1495828,191;701566,3758;956170,9675;1844126,343;1001922,253;1519775,128;1973677,906;778333,6741;2625403,083;1921900,427;3390824,171;4738126,837;1119895,215;5858139,882;4493850,412;2,92E+07;7404617,905;1147,482884;2358441,128;4255674,227;9131078,626;1,33E+07;2480798,229;9251076,388;1,58E+07;1,41E+07;1598234,12;2369102,236
113;126;12,13;192965,9928;122931,0839;934655,8788;141865,9689;55517,0543;1726668,304;235493,3884;124216,1659;325697,4318;125204,5702;8,62E+07;9,89E+07;1,76E+08;5,34E+07;5,00E+07;3,79E+07;1,19E+08;6,85E+07;3,99E+08;6,15E+07;4111806,172;3,18E+07;1,49E+08;9,22E+08;6,88E+07;2,15E+09;3,71E+08;8216,520305;738,1585187;381265,1398;515409,3454;316989,7358;108316,4031;558148,4917;1402154,128;200343,2019;8959,525931;26406,26718
114;151,1;18,81;616952,2118;427706,0686;859582,2575;142822,1373;145284,9018;2622077,733;317613,5702;177871,0132;207294,1037;1624930,037;3,44E+08;6,11E+08;1,69E+08;3,98E+08;1,69E+08;3,79E+08;9,65E+08;3,23E+08;117358,1523;1,42E+09;3,07E+08;4,91E+08;7,31E+08;1,56E+09;3,42E+08;0,00E+00;4,41E+08;53575,75309;5691983,386;876384,3685;1971311,34;407442,494;175404,7567;528884,3615;394859,5697;1834405,895;19887,84916;21523,92974
115;43,1;19,42;2401,225972;1546,758557;1454,366357;8368,398758;14705,6574;39292,22589;24031,86361;4203,613795;27546,07545;31542,16364;9109,81826;17078,67358;1062,858329;16433,80092;4535,668542;619,1066242;23932,81131;1998,974426;3667313,997;1975234,88;204404,97;2025774,608;4246679,283;3,17E+07;8147144,35;9084196,766;3,57E+07;3900,185708;466,2451176;6037,105555;12119,77856;15958,36809;22850,41931;8345,038868;53651,26232;27987,2793;21006,08471;9492,249989
